Language, Flag Name, Flag Image Src
Alemannic German, Flag of Switzerland (Pantone), http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_Switzerland_%28Pantone%29.svg/45px-Flag_of_Switzerland_%28Pantone%29.svg.png
Aleut, Flag of Alaska, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/45px-Flag_of_Alaska.svg.png
Algerian Arabic, Flag of Algeria, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/45px-Flag_of_Algeria.svg.png
American Sign Language, Flag of the United States, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/45px-Flag_of_the_United_States.svg.png
Amharic, Flag of Ethiopia, http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/45px-Flag_of_Ethiopia.svg.png
Ancient Greek, Byzantine imperial flag, 14th century, square, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Byzantine_imperial_flag%2C_14th_century%2C_square.svg/45px-Byzantine_imperial_flag%2C_14th_century%2C_square.svg.png
Andalusian Arabic, Flag of Al-Andalus, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Al-Andalus.svg/45px-Flag_of_Al-Andalus.svg.png
Angevin, Flag of Anjou, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Flag_of_Anjou.svg/45px-Flag_of_Anjou.svg.png
Anguthimri, Flag of Queensland, http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Queensland.svg/45px-Flag_of_Queensland.svg.png
Arabic, Flag of the Arab League, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Flag_of_the_Arab_League.svg/45px-Flag_of_the_Arab_League.svg.png
Aragonese, Flag of Aragon, http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Flag_of_Aragon.svg/45px-Flag_of_Aragon.svg.png
Armenian, Flag of Armenia, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/45px-Flag_of_Armenia.svg.png
Aromanian, Aromanian flag, http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aromanian_flag.svg/45px-Aromanian_flag.svg.png
Asturian, Flag of Asturias, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Asturias.svg/45px-Flag_of_Asturias.svg.png
Avar, Khunz Wolf 3b, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Khunz_Wolf_3b.svg/45px-Khunz_Wolf_3b.svg.png
Aymara, Flag of Bolivia (state), http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Bolivia_%28state%29.svg/45px-Flag_of_Bolivia_%28state%29.svg.png
Azerbaijani, Flag of Azerbaijan, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/45px-Flag_of_Azerbaijan.svg.png
Baharna Arabic, Flag of Bahrain, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/45px-Flag_of_Bahrain.svg.png
Balinese, Flag of Bali, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Flag_of_Bali.svg/45px-Flag_of_Bali.svg.png
Bambara, Flag of Mali, http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/45px-Flag_of_Mali.svg.png
Bashkir, Flag of Bashkortostan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Bashkortostan.svg/45px-Flag_of_Bashkortostan.svg.png
Basque, Flag of the Basque Country, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Flag_of_the_Basque_Country.svg/45px-Flag_of_the_Basque_Country.svg.png
Bavarian, Flag of Bavaria (lozengy), http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_Bavaria_%28lozengy%29.svg/45px-Flag_of_Bavaria_%28lozengy%29.svg.png
Belarusian, Flag of Belarus, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/45px-Flag_of_Belarus.svg.png
Belizean Creole, Flag of Belize, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/45px-Flag_of_Belize.svg.png
Bengali, Flag of Bangladesh, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/45px-Flag_of_Bangladesh.svg.png
Bislama, Flag of Vanuatu, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/45px-Flag_of_Vanuatu.svg.png
Bolivian Sign Language, Flag of Bolivia (state), http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Bolivia_%28state%29.svg/45px-Flag_of_Bolivia_%28state%29.svg.png
Bourguignon, Flag of Bourgogne, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_Bourgogne.svg/45px-Flag_of_Bourgogne.svg.png
Breton, Flag of Brittany, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Brittany.svg/45px-Flag_of_Brittany.svg.png
Brunei Malay, Flag of Brunei, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/45px-Flag_of_Brunei.svg.png
Bulgarian, Flag of Bulgaria, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/45px-Flag_of_Bulgaria.svg.png
Burmese, Flag of Myanmar, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/45px-Flag_of_Myanmar.svg.png
Buryat, Flag of Buryatia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Buryatia.svg/45px-Flag_of_Buryatia.svg.png
Cameroon Pidgin, Flag of Cameroon, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/45px-Flag_of_Cameroon.svg.png
Cantonese, Flag of Hong Kong, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/45px-Flag_of_Hong_Kong.svg.png
Catalan, Flag of Catalonia, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Catalonia.svg/45px-Flag_of_Catalonia.svg.png
Cavineña, Flag of Beni, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Beni.svg/45px-Flag_of_Beni.svg.png
Cebuano, Flag of Cebu (province), http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Cebu_%28province%29.svg/45px-Flag_of_Cebu_%28province%29.svg.png
Central Kurdish, Flag of Kurdistan, http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_Kurdistan.svg/45px-Flag_of_Kurdistan.svg.png
Chamorro, Flag of Guam, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Guam.svg/45px-Flag_of_Guam.svg.png
Champenois, Flag of Champagne-Ardenne, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Champagne-Ardenne.svg/45px-Flag_of_Champagne-Ardenne.svg.png
Chechen, Flag of the Chechen Republic, http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_the_Chechen_Republic.svg/45px-Flag_of_the_Chechen_Republic.svg.png
Cherokee, Flag of the Cherokee Nation, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_the_Cherokee_Nation.svg/45px-Flag_of_the_Cherokee_Nation.svg.png
Chickasaw, Flag of the Chickasaw Nation, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Chickasaw_Nation.svg/45px-Flag_of_the_Chickasaw_Nation.svg.png
Chinese, Flag of the People's Republic of China, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/45px-Flag_of_the_People%27s_Republic_of_China.svg.png
Choctaw, ChoctawFlag, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/ChoctawFlag.png/45px-ChoctawFlag.png
Chuukese, Flag of Chuuk, http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Flag_of_Chuuk.svg/45px-Flag_of_Chuuk.svg.png
Chuvash, Flag of Chuvashia, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Flag_of_Chuvashia.svg/45px-Flag_of_Chuvashia.svg.png
Cornish, Flag of Cornwall, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Cornwall.svg/45px-Flag_of_Cornwall.svg.png
Corsican, Flag of Corsica, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Flag_of_Corsica.svg/45px-Flag_of_Corsica.svg.png
Creek, Flag of the Muskogee Nation, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Flag_of_the_Muskogee_Nation.PNG/45px-Flag_of_the_Muskogee_Nation.PNG
Crimean Tatar, Flag of the Crimean Tatar people, http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Flag_of_the_Crimean_Tatar_people.svg/45px-Flag_of_the_Crimean_Tatar_people.svg.png
Cuban Sign Language, Flag of Cuba, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/45px-Flag_of_Cuba.svg.png
Czech, Flag of the Czech Republic, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/45px-Flag_of_the_Czech_Republic.svg.png
Dalmatian, Flag of Kingdom of Dalmatia (1852-1860), http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Kingdom_of_Dalmatia_%281852-1860%29.svg/45px-Flag_of_Kingdom_of_Dalmatia_%281852-1860%29.svg.png
Danish, Flag of Denmark, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/45px-Flag_of_Denmark.svg.png
Dhivehi, Flag of Maldives, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/45px-Flag_of_Maldives.svg.png
Dogrib, Flag of the Northwest Territories, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Northwest_Territories.svg/45px-Flag_of_the_Northwest_Territories.svg.png
Dutch, Flag of the Netherlands, http://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/45px-Flag_of_the_Netherlands.svg.png
Dzongkha, Flag of Bhutan, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/45px-Flag_of_Bhutan.svg.png
Eastern Mari, Flag of Mari El, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Flag_of_Mari_El.svg/45px-Flag_of_Mari_El.svg.png
Egyptian Arabic, Flag of Egypt, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/45px-Flag_of_Egypt.svg.png
Emilian, Flag of Bologna 2, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Bologna_2.png/45px-Flag_of_Bologna_2.png
Erzya, Erzya Flag, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Erzya_Flag.svg/45px-Erzya_Flag.svg.png
Esperanto, Flag of Esperanto, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Flag_of_Esperanto.svg/45px-Flag_of_Esperanto.svg.png
Estonian, Flag of Estonia, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/45px-Flag_of_Estonia.svg.png
Evenki, Flag of Evenks, http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Evenks.svg/45px-Flag_of_Evenks.svg.png
Ewe, Flag of the Ewe people, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_the_Ewe_people.svg/45px-Flag_of_the_Ewe_people.svg.png
Extremaduran, Flag of Extremadura, Spain (with coat of arms), http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Flag_of_Extremadura%2C_Spain_%28with_coat_of_arms%29.svg/45px-Flag_of_Extremadura%2C_Spain_%28with_coat_of_arms%29.svg.png
Fala, Bandera de Valverde del Fresno (Cáceres), http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bandera_de_Valverde_del_Fresno_%28C%C3%A1ceres%29.svg/45px-Bandera_de_Valverde_del_Fresno_%28C%C3%A1ceres%29.svg.png
Faroese, Flag of the Faroe Islands, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_Faroe_Islands.svg/45px-Flag_of_the_Faroe_Islands.svg.png
Fijian, Flag of Fiji, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/45px-Flag_of_Fiji.svg.png
Finnish, Flag of Finland, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/45px-Flag_of_Finland.svg.png
Forest Nenets, Flag of Nenets Autonomous District, http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Flag_of_Nenets_Autonomous_District.svg/45px-Flag_of_Nenets_Autonomous_District.svg.png
Franc-Comtois, Flag of Franche-Comté, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Franche-Comt%C3%A9.svg/45px-Flag_of_Franche-Comt%C3%A9.svg.png
Franco-Provençal, Flag of Valle d'Aosta, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flag_of_Valle_d%27Aosta.svg/45px-Flag_of_Valle_d%27Aosta.svg.png
French, Flag of France, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/45px-Flag_of_France.svg.png
Friulian, Bandiere dal Friûl, http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Bandiere_dal_Fri%C3%BBl.svg/45px-Bandiere_dal_Fri%C3%BBl.svg.png
Gagauz, Flag of Gagauzia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Gagauzia.svg/45px-Flag_of_Gagauzia.svg.png
Galician, Flag of Galicia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Galicia.svg/45px-Flag_of_Galicia.svg.png
Gallo, Flag of Brittany, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Brittany.svg/45px-Flag_of_Brittany.svg.png
Garhwali, Flag of the Princely State of Tehri Garhwal, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_the_Princely_State_of_Tehri_Garhwal.svg/45px-Flag_of_the_Princely_State_of_Tehri_Garhwal.svg.png
Garifuna, Flag of Garifuna, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Garifuna.svg/45px-Flag_of_Garifuna.svg.png
Georgian, Flag of Georgia, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/45px-Flag_of_Georgia.svg.png
German, Flag of Germany, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/45px-Flag_of_Germany.svg.png
Gilbertese, Flag of Kiribati, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/45px-Flag_of_Kiribati.svg.png
Greek, Flag of Greece, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/45px-Flag_of_Greece.svg.png
Greenlandic, Flag of Greenland, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Greenland.svg/45px-Flag_of_Greenland.svg.png
Guaraní, Flag of Paraguay, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/45px-Flag_of_Paraguay.svg.png
Guianese Creole, Flag of French Guiana, http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_French_Guiana.svg/45px-Flag_of_French_Guiana.svg.png
Guinea-Bissau Creole, Flag of Guinea-Bissau, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/45px-Flag_of_Guinea-Bissau.svg.png
Gujarati, Flag of India, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png
Guyanese Creole English, Flag of Guyana, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/45px-Flag_of_Guyana.svg.png
Haitian Creole, Flag of Haiti, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/45px-Flag_of_Haiti.svg.png
Hawaiian, Flag of Hawaii, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/45px-Flag_of_Hawaii.svg.png
Hebrew, Flag of Israel, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/45px-Flag_of_Israel.svg.png
Hijazi Arabic, Flag of Hejaz 1917, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Hejaz_1917.svg/45px-Flag_of_Hejaz_1917.svg.png
Hindi, Flag of India, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png
Hungarian Sign Language, Flag of Hungary, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/45px-Flag_of_Hungary.svg.png
Hungarian, Flag of Hungary, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/45px-Flag_of_Hungary.svg.png
Hunsrik, Bandeira do Rio Grande do Sul, http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bandeira_do_Rio_Grande_do_Sul.svg/45px-Bandeira_do_Rio_Grande_do_Sul.svg.png
Icelandic, Flag of Iceland, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/45px-Flag_of_Iceland.svg.png
Ido, Flag of Ido, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Ido.svg/45px-Flag_of_Ido.svg.png
Inari Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Indo-Portuguese, Flag of Portugal (1640), http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Portugal_%281640%29.svg/45px-Flag_of_Portugal_%281640%29.svg.png
Indonesian, Flag of Indonesia, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/45px-Flag_of_Indonesia.svg.png
Ingrian, Flag igora, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_igora.svg/45px-Flag_igora.svg.png
Ingush, Flag of Ingushetia, http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Ingushetia.svg/45px-Flag_of_Ingushetia.svg.png
Interlingua, Flag of Interlingua, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Flag_of_Interlingua.svg/45px-Flag_of_Interlingua.svg.png
Interlingue, Flag of Interlingue, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Interlingue.svg/45px-Flag_of_Interlingue.svg.png
Inuktitut, Flag of Nunavut, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Flag_of_Nunavut.svg/45px-Flag_of_Nunavut.svg.png
Irish, Flag of Ireland, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/45px-Flag_of_Ireland.svg.png
Istriot, HRV Rovinj flag, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/HRV_Rovinj_flag.svg/45px-HRV_Rovinj_flag.svg.png
Italian, Flag of Italy, http://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/45px-Flag_of_Italy.svg.png
Jamaican Creole, Flag of Jamaica, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/45px-Flag_of_Jamaica.svg.png
Japanese, Flag of Japan, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/45px-Flag_of_Japan.svg.png
Jeju, Flag of Jeju (1969–2009), http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_Jeju_%281969%E2%80%932009%29.svg/45px-Flag_of_Jeju_%281969%E2%80%932009%29.svg.png
Juba Arabic, Flag of South Sudan, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_South_Sudan.svg/45px-Flag_of_South_Sudan.svg.png
Kabuverdianu, Flag of Cape Verde, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/45px-Flag_of_Cape_Verde.svg.png
Kalmyk, Flag of Kalmykia, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Kalmykia.svg/45px-Flag_of_Kalmykia.svg.png
Kannada, Flag of the Kannada people, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Flag_of_the_Kannada_people.svg/45px-Flag_of_the_Kannada_people.svg.png
Kanuri, Flag of the Kanuri people, http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Flag_of_the_Kanuri_people.svg/45px-Flag_of_the_Kanuri_people.svg.png
Karakalpak, Flag of Karakalpakstan, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Flag_of_Karakalpakstan.svg/45px-Flag_of_Karakalpakstan.svg.png
Karelian, Flag of Karelia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_Karelia.svg/45px-Flag_of_Karelia.svg.png
Kashubian, Provinz Pommern flag, http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Provinz_Pommern_flag.svg/45px-Provinz_Pommern_flag.svg.png
Kazakh, Flag of Kazakhstan, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/45px-Flag_of_Kazakhstan.svg.png
Kedah Malay, Flag of Kedah (18th century - 1821), http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Kedah_%2818th_century_-_1821%29.svg/45px-Flag_of_Kedah_%2818th_century_-_1821%29.svg.png
Kemi Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Khakas, Flag of Khakassia, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Khakassia.svg/45px-Flag_of_Khakassia.svg.png
Khanty, Flag of Yugra, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Flag_of_Yugra.svg/45px-Flag_of_Yugra.svg.png
Khmer, Flag of Cambodia, http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/45px-Flag_of_Cambodia.svg.png
Kildin Sami, Sami flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Sami_flag.svg/45px-Sami_flag.svg.png
Koasati, Flag of the Coushatta Tribe of Louisiana, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_the_Coushatta_Tribe_of_Louisiana.svg/45px-Flag_of_the_Coushatta_Tribe_of_Louisiana.svg.png
Komi-Permyak, Flag of Permyakia, http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Permyakia.svg/45px-Flag_of_Permyakia.svg.png
Komi-Zyrian, Flag of Komi, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Komi.svg/45px-Flag_of_Komi.svg.png
Korean, Flag of South Korea, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/45px-Flag_of_South_Korea.svg.png
Koryak, Flag of Koryakia, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Koryakia.svg/45px-Flag_of_Koryakia.svg.png
Krio, Flag of Sierra Leone, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/45px-Flag_of_Sierra_Leone.svg.png
Kumyk, Flag of Kumyks, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Kumyks.svg/45px-Flag_of_Kumyks.svg.png
Kuna, Flag of Kuna Yala, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Kuna_Yala.svg/45px-Flag_of_Kuna_Yala.svg.png
Kven, Flag of the Kven people, http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_the_Kven_people.svg/45px-Flag_of_the_Kven_people.svg.png
Kyrgyz, Flag of Kyrgyzstan, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/45px-Flag_of_Kyrgyzstan.svg.png
Ladin, Flag of Ladinia, http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Flag_of_Ladinia.svg/45px-Flag_of_Ladinia.svg.png
Ladino, Ladino Flag, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ladino_Flag.svg/45px-Ladino_Flag.svg.png
Lahu, Lahu flag, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Lahu_flag.svg/45px-Lahu_flag.svg.png
Lao, Flag of Laos, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/45px-Flag_of_Laos.svg.png
Latin, Flag of Rome, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Flag_of_Rome.svg/45px-Flag_of_Rome.svg.png
Latvian, Flag of Latvia, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/45px-Flag_of_Latvia.svg.png
Leonese, Bandera de León, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Bandera_de_Le%C3%B3n.svg/45px-Bandera_de_Le%C3%B3n.svg.png
Libyan Arabic, Flag of Libya, http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/45px-Flag_of_Libya.svg.png
